,이름,연도팀,출장,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,WAR,WPA,ERA,FIP,WHIP,ERA+,FIP
154,문성현,20키,10,10,0,0,2,1,1,0,0,15.0,7,7,63,13,1,0,1,11,0,0,13,0,0,4.20,4.93,1.60,112.9,96.0,0.29,0.03
155,하준호,20K,10,10,0,0,0,0,0,0,2,9.2,11,9,48,6,0,0,0,12,1,1,8,0,0,8.38,5.67,1.86,57.7,84.7,-0.25,-0.09
156,김현준,20K,10,10,0,0,0,0,0,0,0,9.0,17,17,53,16,4,2,1,10,1,1,7,0,0,17.00,6.82,2.89,29.2,71.3,-0.44,-0.06
157,장현식,20N,9,9,0,0,0,1,0,0,0,9.2,11,10,48,12,1,1,1,6,0,1,4,0,3,9.31,6.29,1.86,52.6,77.0,-0.18,-0.15
158,장필준,20삼,9,9,0,0,0,0,1,0,2,8.2,9,8,38,10,2,0,2,3,0,0,3,0,0,8.31,6.95,1.50,60.0,71.7,-0.17,-0.66
159,김성민,20키,9,9,0,0,0,0,0,0,0,8.1,12,10,42,11,1,0,3,4,0,1,6,0,1,10.80,8.64,1.80,43.9,53.6,-0.32,-0.40
160,신재웅,20S,9,9,0,0,0,1,0,0,0,7.1,7,7,33,11,2,1,3,4,0,0,8,0,0,8.59,8.37,2.05,55.8,59.2,-0.06,-0.04
161,브리검,20키,8,8,0,0,8,1,2,0,0,36.2,21,20,157,37,2,1,4,13,1,2,36,0,2,4.91,4.20,1.36,96.6,111.6,0.27,-0.10
162,라이블리,20삼,8,8,0,0,8,1,5,0,0,35.1,19,19,151,31,7,0,4,17,0,3,27,0,2,4.84,5.24,1.36,103.0,94.0,0.62,-0.48
163,조병욱,20K,8,8,0,0,4,0,1,0,0,27.0,20,20,121,35,4,0,4,11,0,0,10,0,0,6.67,6.01,1.70,72.5,79.0,-0.11,-0.50
164,김진욱,20한,8,8,0,0,2,1,2,1,0,14.1,9,9,66,18,2,0,4,9,0,2,15,0,1,5.65,7.44,1.88,84.7,65.2,0.11,-0.60
165,윤정현,20키,8,8,0,0,0,0,0,0,0,10.0,14,12,55,23,3,1,0,4,0,0,4,0,1,10.80,4.00,2.70,43.9,120.0,-0.33,-0.35
166,이대은,20K,8,8,0,0,0,0,3,1,0,8.0,11,8,42,13,2,0,3,3,2,1,4,0,2,9.00,8.22,2.00,53.7,57.4,-0.77,-2.27
167,임준섭,20한,8,8,0,0,1,0,2,0,1,7.1,10,10,42,17,5,0,1,4,0,0,4,0,0,12.27,5.92,2.86,39.0,82.0,-0.36,-0.21
168,김민규,20두,8,8,0,0,0,0,0,1,0,7.0,12,12,40,14,8,0,0,3,0,2,5,0,1,15.43,4.31,2.43,30.4,110.6,-0.32,0.08
169,김명찬,20K,8,8,0,0,0,0,1,0,1,3.1,1,1,18,3,2,0,0,4,0,0,6,0,1,2.70,3.60,2.10,183.8,137.2,0.13,-0.53
170,허윤동,20삼,7,7,0,0,7,2,1,0,0,26.1,16,15,127,29,5,0,3,20,0,2,13,1,0,5.13,6.60,1.86,97.2,74.5,0.23,-0.34
171,박종기,20두,7,7,0,0,5,1,2,0,0,25.0,15,15,111,27,6,0,3,14,0,0,17,0,1,5.40,5.48,1.64,86.8,84.9,0.22,0.11
172,강동호,20롯,7,7,0,0,0,1,0,0,0,11.0,9,9,51,13,1,0,3,6,0,0,8,0,0,7.36,7.33,1.73,66.1,66.0,-0.02,0.09
173,박진태,20K,7,7,0,0,0,0,0,0,0,9.2,14,14,54,17,2,0,5,9,0,2,7,0,0,13.03,12.29,2.69,38.1,40.0,-0.27,-0.10
174,이정용,20L,7,7,0,0,0,1,0,0,1,7.1,4,4,31,7,1,0,2,2,0,1,8,0,0,4.91,6.19,1.23,95.3,73.7,0.08,0.09
175,박정수,20K,7,7,0,0,0,0,0,0,1,7.1,3,3,28,5,2,1,1,4,0,1,5,0,0,3.68,6.05,1.23,134.8,80.8,0.19,-0.02
176,고효준,20롯,7,7,0,0,0,0,0,0,0,4.0,6,6,26,6,1,0,2,6,0,2,1,0,1,13.50,15.60,3.00,36.0,30.9,-0.19,-0.26
177,김유영,20롯,7,7,0,0,0,0,0,0,0,3.1,3,3,19,3,0,0,0,6,1,0,3,0,0,8.10,6.30,2.70,60.1,76.2,-0.03,-0.27
178,김이환,20한,6,6,0,0,5,1,3,0,0,23.2,18,18,114,27,6,0,4,19,0,1,16,0,0,6.85,6.98,1.94,70.0,69.5,0.00,-0.37
179,임규빈,20키,6,6,0,0,0,0,0,0,0,8.0,6,6,35,14,1,0,5,0,0,0,7,0,0,6.75,9.97,1.75,70.2,45.6,-0.00,0.00
180,최준용,20롯,6,6,0,0,0,0,0,0,0,7.0,2,2,29,8,3,0,0,1,0,0,6,0,1,2.57,2.31,1.29,189.2,208.0,0.18,0.01
181,이용찬,20두,5,5,0,0,5,1,3,0,0,26.2,25,25,125,41,8,0,7,6,0,0,15,0,1,8.44,6.56,1.76,55.6,69.5,-0.53,-0.74
182,장원삼,20롯,5,5,0,0,4,0,2,0,0,21.1,21,18,97,29,6,0,4,6,1,1,7,0,0,7.59,6.22,1.64,64.1,77.5,-0.47,-0.93
183,백승건,20S,5,5,0,0,3,0,3,0,0,16.0,15,15,81,22,3,0,6,14,0,0,16,0,0,8.44,9.10,2.25,56.9,54.2,-0.26,-0.81
184,김현수,20K,5,5,0,0,0,0,0,0,0,7.0,10,10,43,15,2,2,1,8,0,1,0,0,1,12.86,9.31,3.29,38.6,52.1,-0.19,-0.09
185,최영환,20롯,5,5,0,0,0,0,0,0,0,6.2,5,5,33,12,2,0,3,2,0,1,4,0,1,6.75,9.60,2.10,72.1,50.4,0.02,-0.23
186,윤형배,20한,5,5,0,0,0,0,1,0,0,5.1,4,3,24,5,1,0,2,4,1,0,2,0,1,5.06,9.41,1.69,94.6,51.5,0.02,-0.38
187,김건국,20롯,5,5,0,0,0,0,0,0,0,5.1,1,1,17,2,1,0,0,0,0,0,7,0,0,1.69,0.97,0.38,288.3,495.5,0.16,0.03
188,신재영,20키,5,5,0,0,0,0,0,0,0,4.1,6,5,27,11,2,1,2,2,0,0,1,0,0,10.38,10.52,3.00,45.6,44.0,-0.17,-0.02
189,류희운,20K,5,5,0,0,0,0,1,0,0,4.0,7,7,20,6,1,0,1,4,0,0,4,0,1,15.75,7.85,2.50,30.7,60.3,-0.20,-0.38
190,이강준,20K,4,4,0,0,0,0,0,0,0,5.2,4,4,33,9,1,1,1,5,0,3,3,0,0,6.35,9.07,2.47,76.1,52.0,0.03,-0.05
191,문대원,20두,4,4,0,0,0,0,0,0,0,5.2,9,6,30,12,3,0,2,2,0,0,0,0,0,9.53,9.25,2.47,49.2,49.4,-0.21,-0.12
192,조제영,20두,4,4,0,0,1,0,1,0,0,5.0,7,7,27,5,1,0,1,7,0,1,6,0,1,12.60,8.60,2.40,37.2,53.9,-0.25,-0.40
193,변진수,20K,4,4,0,0,0,1,0,0,0,5.0,4,2,25,8,1,0,0,3,0,0,1,0,0,3.60,5.00,2.20,137.8,96.6,0.01,0.01
194,이승진,20두,4,4,0,0,1,0,1,0,0,4.2,7,7,26,7,3,0,1,5,0,0,4,0,0,13.50,7.88,2.57,34.7,58.5,-0.23,-0.28
195,문광은,20L,4,4,0,0,0,0,0,0,0,4.0,5,5,21,7,3,1,1,2,0,0,4,0,0,11.25,6.35,2.25,41.6,72.1,-0.08,-0.00
196,김동혁,20키,4,4,0,0,0,0,1,0,0,3.1,3,3,16,4,0,1,0,1,0,1,5,0,1,8.10,2.40,1.50,58.5,200.5,-0.02,-0.12
197,이창재,20K,4,4,0,0,0,0,0,0,1,3.1,1,0,15,3,0,0,0,1,0,0,2,0,0,0.00,3.30,1.20,146.0,0.08,0.07,
198,김정후,20키,4,4,0,0,0,0,0,0,0,3.0,4,4,20,7,0,0,1,4,0,0,3,0,0,12.00,9.93,3.67,39.5,46.9,-0.11,-0.19
199,이재익,20삼,4,4,0,0,0,0,0,0,0,0.2,11,10,13,8,3,0,2,2,0,0,1,0,0,135.00,48.60,15.00,3.7,10.5,-0.43,-0.04
200,윤성환,20삼,3,3,1,0,3,0,2,0,0,12.0,10,8,54,14,2,2,0,5,0,1,1,0,0,6.00,4.93,1.58,83.1,98.1,-0.14,-0.33
201,서덕원,20K,3,3,0,0,0,0,0,0,0,3.2,2,2,18,4,0,0,1,2,0,1,2,0,0,4.91,8.51,1.64,101.1,57.6,0.05,-0.01
202,김성훈,20K,3,3,0,0,0,0,0,0,0,3.0,1,1,13,1,0,0,0,4,0,0,3,0,0,3.00,5.60,1.67,161.1,85.6,0.06,-0.01
203,박주홍,20한,3,3,0,0,0,0,0,0,0,2.2,3,2,14,5,2,0,0,0,0,0,4,0,1,6.75,0.60,1.88,70.9,784.1,-0.03,-0.08
204,홍성민,20N,3,3,0,0,0,0,0,0,1,2.2,0,0,8,0,0,0,0,1,0,0,1,0,0,0.00,3.97,0.38,120.8,0.13,0.09,
205,금민철,20K,3,3,0,0,0,0,0,0,0,2.1,4,4,15,6,1,0,0,1,0,2,2,0,0,15.43,5.74,3.00,31.3,81.9,-0.12,-0.13
206,이교훈,20두,3,3,0,0,0,0,0,0,0,2.1,5,4,14,3,1,0,1,3,0,0,1,0,0,15.43,12.17,2.57,30.4,37.6,-0.15,-0.03
207,김대유,20L,3,3,0,0,0,0,0,0,0,2.1,6,6,14,5,1,0,0,1,0,1,1,0,0,23.14,5.31,2.57,20.2,90.1,-0.20,-0.04
208,박주성,20키,3,3,0,0,0,0,0,0,0,2.0,1,1,11,2,0,0,0,3,0,0,1,0,0,4.50,7.10,2.50,105.3,67.4,0.03,0.01
209,박승주,20키,3,3,0,0,0,0,1,0,0,1.2,5,5,13,5,0,0,0,3,0,0,1,0,0,27.00,7.80,4.80,17.6,61.4,-0.33,-0.36
210,정용운,20L,3,3,0,0,0,0,0,0,0,1.2,3,3,9,3,1,0,0,1,0,0,3,0,0,16.20,1.80,2.40,28.9,263.2,-0.09,0.00
211,이영재,20L,3,3,0,0,0,0,0,0,0,1.0,4,4,10,3,1,0,0,4,0,0,1,0,0,36.00,13.60,7.00,13.0,34.8,-0.16,-0.02
212,킹엄,20S,2,2,0,0,2,0,2,0,0,10.2,11,8,52,16,4,0,1,4,0,0,6,0,1,6.75,4.82,1.88,71.1,101.0,-0.31,-0.55
213,김진호,20N,2,2,0,0,2,0,0,0,0,7.1,4,4,35,6,0,0,1,7,0,0,7,0,1,4.91,6.33,1.77,99.8,76.6,0.08,-0.22
214,이승민,20삼,2,2,0,0,1,0,1,0,0,5.2,7,7,31,8,2,0,1,9,0,0,4,0,0,11.12,9.25,3.00,44.8,53.3,-0.17,-0.27
215,남재현,20K,2,2,0,0,0,0,0,0,0,4.0,2,2,18,4,0,1,0,3,0,0,3,0,0,4.50,4.35,1.75,110.3,111.7,0.08,0.00
216,신민혁,20N,2,2,0,0,0,0,0,0,0,3.2,1,1,13,3,0,0,1,0,0,0,3,0,0,2.45,5.51,0.82,199.6,89.3,0.17,0.11
217,윤규진,20한,2,2,0,0,0,0,0,0,0,3.2,5,3,19,7,0,0,1,1,0,0,4,0,0,7.36,5.78,2.18,65.0,84.0,-0.09,-0.05
218,이상동,20K,2,2,0,0,0,0,0,0,0,3.1,6,6,22,11,5,0,0,2,0,0,2,0,1,16.20,4.20,3.90,29.8,114.4,-0.14,-0.05
219,박신지,20두,2,2,0,0,0,0,0,0,0,3.0,6,6,18,9,3,1,0,1,0,0,3,0,1,18.00,2.60,3.33,26.0,183.9,-0.14,-0.00
220,서동민,20S,2,2,0,0,0,0,0,0,0,2.1,2,2,10,3,0,0,1,0,0,0,0,0,0,7.71,9.17,1.29,62.2,53.9,-0.00,0.00
221,이선우,20K,2,2,0,0,0,0,0,0,0,2.0,3,3,13,6,1,0,1,1,0,0,1,0,0,13.50,10.60,3.50,35.8,44.2,-0.07,-0.07
222,김찬호,20S,2,2,0,0,0,0,0,0,0,2.0,3,3,11,4,0,0,1,2,0,0,1,0,0,13.50,12.10,3.00,35.5,40.8,-0.06,-0.00
223,유원석,20L,2,2,0,0,0,0,0,0,0,1.2,0,0,9,1,1,0,0,3,0,0,2,0,0,0.00,6.60,2.40,71.9,0.07,0.00,
224,백인식,20L,2,2,0,0,0,0,0,0,0,1.1,3,3,8,4,1,0,1,0,0,0,0,0,0,20.25,13.35,3.00,23.1,33.7,-0.08,-0.01
225,이찬혁,20L,2,2,0,0,0,0,0,0,0,1.1,2,2,9,2,0,0,1,2,0,1,0,0,1,13.50,20.10,3.00,34.6,22.9,-0.05,0.00
226,김명신,20두,2,2,0,0,0,0,0,0,0,1.1,1,1,9,4,1,0,0,1,0,0,2,0,0,6.75,2.85,3.75,69.4,166.4,0.00,-0.01
227,박명현,20롯,2,2,0,0,0,0,0,0,0,0.2,2,2,6,3,1,0,0,1,0,0,0,0,1,27.00,8.10,6.00,18.0,59.3,-0.08,-0.02
228,정대현,20키,1,1,0,0,1,0,0,0,0,2.2,3,3,13,5,1,0,1,0,0,0,3,0,0,10.13,6.22,1.88,46.8,73.2,-0.09,-0.16
229,이승헌,20롯,1,1,0,0,1,0,0,0,0,2.1,3,0,10,1,0,0,0,1,0,0,1,0,0,0.00,4.03,0.86,119.4,-0.13,-0.01,
230,배민서,20N,1,1,0,0,0,0,0,0,0,2.0,2,2,10,4,1,0,1,1,0,0,1,0,0,9.00,10.60,2.50,54.4,46.3,-0.01,-0.00
231,정태승,20롯,1,1,0,0,0,0,0,0,0,1.2,4,4,11,4,1,0,1,2,0,0,1,0,0,21.60,13.80,3.60,22.5,35.1,-0.15,-0.11
232,한승주,20한,1,1,0,0,1,0,0,0,0,1.2,3,3,10,3,0,0,1,2,0,0,2,0,0,16.20,12.60,3.00,29.6,38.6,-0.14,-0.22
233,김선기,20키,1,1,0,0,0,0,0,0,0,1.1,1,1,7,2,0,0,0,1,0,1,0,0,0,6.75,8.10,2.25,70.2,59.7,0.01,-0.01
234,황동재,20삼,1,1,0,0,0,0,0,0,0,1.1,8,8,16,8,2,0,1,4,0,0,3,0,0,54.00,17.85,9.00,9.2,28.1,-0.35,-0.33
235,한선태,20L,1,1,0,0,0,0,0,0,0,1.0,2,2,7,3,0,0,0,2,0,0,0,0,1,18.00,9.60,5.00,26.0,49.6,-0.06,-0.00
236,차재용,20키,1,1,0,0,0,0,0,0,0,1.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.00,3.60,0.00,133.7,0.04,0.01,
237,김승범,20K,1,1,0,0,0,0,0,0,0,1.0,1,1,5,1,0,0,0,2,0,0,0,0,1,9.00,9.60,3.00,55.1,50.3,-0.01,0.00
238,노시환,20한,1,1,0,0,0,0,0,0,0,1.0,2,2,5,1,0,0,1,0,0,1,0,0,0,18.00,19.60,1.00,26.6,24.8,-0.05,0.00
239,한승혁,20롯,1,1,0,0,0,1,0,0,0,0.2,0,0,3,1,0,0,0,0,0,0,0,0,0,0.00,3.60,1.50,133.7,0.03,-0.01,
240,박세진,20K,1,1,0,0,0,0,0,0,0,0.1,4,4,5,2,0,0,0,1,0,1,0,0,0,108.00,21.60,9.00,4.5,21.7,-0.15,-0.01
241,황윤호,20K,1,1,0,0,0,0,0,0,0,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00,3.60,0.00,133.7,0.01,0.00,
242,한승지,20K,1,1,0,0,0,0,0,0,0,0.0,4,4,6,4,1,0,0,1,0,1,0,0,0,0.00,-0.02,,,,,
243,임형원,20N,1,1,0,0,0,0,0,0,0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.00,-0.01,,,,,
244,이동원,20두,1,1,0,0,0,0,0,0,0,0.0,2,2,2,0,0,0,0,2,0,0,0,0,0,0.00,-0.00,,,,,
