,이름,연도팀,출장,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,WAR,WPA,ERA,FIP,WHIP,ERA+,FIP
35,박시영,20롯,28,28,0,0,0,1,1,0,1,22.0,23,23,109,26,7,0,4,17,0,1,16,0,1,9.41,6.96,1.96,51.7,69.2,-0.60,-1.20
36,오현택,20롯,28,28,0,0,0,3,1,0,6,19.0,10,10,81,22,4,1,3,5,1,1,11,0,1,4.74,5.28,1.42,102.7,91.3,0.38,-0.01
37,최동환,20L,27,27,0,0,0,1,0,0,1,32.0,18,17,136,37,6,1,5,9,0,1,23,0,0,4.78,5.13,1.44,97.8,90.3,0.40,-0.23
38,김재웅,20키,27,27,0,0,2,0,2,0,1,31.2,16,12,141,37,11,0,2,13,1,1,28,0,3,3.41,3.88,1.58,139.0,121.6,0.51,-1.00
39,이인복,20롯,27,27,0,0,1,1,4,0,2,27.1,8,8,112,29,5,0,0,5,0,1,11,0,1,2.63,3.45,1.24,184.7,139.1,1.11,-0.67
40,강윤구,20N,27,27,0,0,0,1,1,0,3,18.2,14,14,93,30,7,0,3,9,0,0,14,0,2,6.75,5.63,2.09,72.6,86.3,-0.05,-0.60
41,최성훈,20L,26,26,0,0,0,0,0,0,0,18.1,11,11,80,18,3,1,1,7,1,1,15,0,1,5.40,3.82,1.36,86.6,123.2,0.17,-0.12
42,문경찬,20K,25,25,0,0,0,0,2,10,0,24.0,15,14,109,29,5,1,6,6,0,2,26,0,0,5.25,5.68,1.46,94.5,87.3,0.27,-0.21
43,김대현,20L,25,25,0,0,0,3,0,0,3,23.1,19,17,111,27,7,0,6,15,1,0,22,0,1,6.56,6.86,1.80,71.3,66.9,-0.21,-0.45
44,채지선,20두,25,25,0,0,0,0,0,0,2,23.0,12,12,110,27,3,1,1,13,0,4,24,0,7,4.70,4.29,1.74,99.8,109.6,0.41,-0.12
45,노성호,20삼,25,25,0,0,0,0,1,0,8,20.1,8,6,90,15,2,0,1,15,0,1,17,0,3,2.66,4.93,1.48,187.7,99.1,0.64,0.00
46,홍상삼,20K,24,24,0,0,0,1,5,0,5,23.1,7,7,105,11,4,0,2,26,0,1,35,0,7,2.70,5.18,1.59,183.8,95.1,1.19,-0.14
47,김범수,20한,23,23,0,0,7,3,6,0,0,52.1,33,31,243,51,11,2,9,38,3,3,50,0,1,5.33,6.10,1.70,89.8,79.4,0.59,-1.06
48,여건욱,20L,23,23,0,0,0,1,3,1,2,25.2,24,22,115,33,8,1,8,4,0,3,16,0,2,7.71,7.22,1.44,60.6,63.3,-0.31,-0.94
49,윤대경,20한,23,23,0,0,0,1,0,0,1,22.2,9,5,105,24,3,0,2,12,2,2,19,0,0,1.99,4.66,1.59,241.2,103.7,0.83,0.17
50,장지훈,20삼,23,23,0,0,0,0,1,0,0,22.1,27,21,115,29,3,0,3,17,0,2,19,0,4,8.46,6.20,2.06,58.9,79.6,-0.64,-0.82
51,송은범,20L,23,23,0,0,1,1,2,2,2,22.0,16,16,107,34,6,1,2,10,0,2,8,0,1,6.55,5.69,2.00,71.5,82.6,0.01,-0.78
52,조현우,20K,23,23,0,0,0,0,1,1,4,21.2,6,6,87,15,3,0,1,10,1,1,14,0,1,2.49,4.29,1.15,193.9,111.6,1.00,0.40
53,정우람,20한,22,22,0,0,0,1,1,8,0,26.1,12,12,108,24,5,1,0,6,1,4,26,0,1,4.10,2.65,1.14,116.8,181.0,0.87,1.26
54,이태양,20한S,22,22,0,0,0,0,0,0,1,22.2,23,22,110,34,5,1,4,10,1,0,20,0,1,8.74,5.32,1.94,54.9,91.9,-0.29,-0.13
