,IDENTIFICATION,PLAYER_DETAIL,POSITIONS,HEIGHT,WEIGHT,SALARY,FIRST_YEAR
1170,64976,김상용_1983년 05월 07일,(우투우타),182cm,85kg,0,14상무코치
1171,64984,김태진_1995년 10월 07일,내야수(우투좌타),170cm,75kg,9000만원,14NC
1172,64987,홍지운_1991년 11월 30일,내야수(우투우타),183cm,84kg,0,14NC
1173,64989,이찬우_1992년 06월 08일,투수(우투우타),185cm,92kg,0,0
1174,64992,정성민_1991년 03월 29일,포수(우투우타),180cm,85kg,0,14NC
1175,64993,장민호_1995년 10월 15일,투수(우언우타),177cm,80kg,0,0
1176,64994,구황_1991년 05월 15일,외야수(좌투좌타),181cm,95kg,0,0
1177,64995,배재환_1995년 02월 24일,투수(우투우타),186cm,95kg,10500만원,14NC
1178,64998,백경덕_1980년 09월 08일,(),172cm,78kg,0,0
1179,65001,박충식_1996년 05월 06일,투수(우투우타),180cm,71kg,0,0
1180,65005,마르테_1983년 10월 21일,내야수(우투우타),185cm,93kg,0,15KT
1181,65013,카키노키_0,투수(),cm,kg,0,0
1182,65014,카지야_0,투수(),cm,kg,0,0
1183,65019,마에다_0,포수(),cm,kg,0,0
1184,65024,코야마_0,외야수(),cm,kg,0,0
1185,65025,타츠미_0,투수(),cm,kg,0,0
1186,65026,사이토_0,투수(),cm,kg,0,0
1187,65028,야마시타_0,투수(),cm,kg,0,0
1188,65029,오오바_0,투수(),cm,kg,0,0
1189,65031,쿠리하라_0,포수(),cm,kg,0,0
1190,65033,신민재_1992년 03월 03일,투수(우투우타),179cm,82kg,0,15경찰
1191,65034,카네코_0,외야수(),cm,kg,0,0
1192,65035,코노_0,내야수(),cm,kg,0,0
1193,65036,어윈_1987년 02월 25일,투수(우투우타),191cm,95kg,0,15KT
1194,65037,키타가타_0,투수(),cm,kg,0,0
1195,65038,이시카와_0,투수(),cm,kg,0,0
1196,65039,시마부쿠로_0,투수(),cm,kg,0,0
1197,65040,김태훈_1996년 03월 31일,내야수(우투좌타),177cm,78kg,2900만원,15KT
1198,65041,히다카_0,투수(),cm,kg,0,0
1199,65042,홍성무_1993년 01월 25일,투수(우투우타),183cm,98kg,2900만원,15KT
1200,65044,김만수_1996년 04월 18일,포수(우투우타),180cm,80kg,3100만원,16KT
1201,65048,김민수_1992년 07월 24일,투수(우투우타),188cm,80kg,6500만원,15KT
1202,65049,이토_0,투수(),cm,kg,0,0
1203,65051,우에바야시_0,외야수(),cm,kg,0,0
1204,65052,댄블랙_1987년 07월 02일,내야수(우투양타),193cm,116kg,0,15KT
1205,65056,엄상백_1996년 10월 04일,투수(우언우타),190cm,87kg,8000만원,15KT
1206,65057,이창재_1992년 12월 29일,투수(좌투좌타),178cm,71kg,4200만원,15KT
1207,65058,정성곤_1996년 07월 10일,투수(좌투좌타),176cm,74kg,7500만원,15KT
1208,65059,후루사와_0,내야수(),cm,kg,0,0
1209,65060,주권_1995년 05월 31일,투수(우투우타),181cm,82kg,15000만원,15KT
1210,65061,김무영_0,투수(),cm,kg,0,0
1211,65062,김재윤_1990년 09월 16일,투수(우투우타),185cm,91kg,12000만원,09애리조나
1212,65063,카사하라_0,투수(),cm,kg,0,0
1213,65064,윤수호_1992년 07월 09일,투수(우투우타),182cm,90kg,0,15KT
1214,65067,조무근_1991년 09월 26일,투수(우투우타),199cm,128kg,0,15KT
1215,65068,이노모토_0,내야수(),cm,kg,0,0
1216,65069,한덕교_1991년 11월 06일,외야수(우투우타),176cm,72kg,0,0
1217,65073,나카무라_0,투수(),cm,kg,0,0
1218,65074,마사고_0,외야수(),cm,kg,0,0
1219,65076,카사야_0,투수(),cm,kg,0,0
1220,65078,천종민_1984년 10월 30일,(),183cm,92kg,0,14상무코치
1221,65079,민창호_1987년 10월 17일,(),172cm,72kg,0,15상무코치
1222,65090,이시미네_1961년 01월 10일,(우투우타),175cm,80kg,0,0
1223,65091,박휘연_1992년 06월 26일,내야수(우투우타),176cm,71kg,0,0
1224,65092,박두현_1992년 04월 21일,포수(우투우타),175cm,77kg,0,0
1225,65093,박태원_1992년 02월 17일,내야수(우투좌타),188cm,90kg,0,0
1226,65094,이성복_1992년 04월 22일,투수(좌투좌타),183cm,86kg,0,0
1227,65095,박광현_1992년 12월 14일,내야수(우투우타),183cm,94kg,0,0
1228,65096,정주후_1995년 06월 26일,내야수(우투좌타),180cm,67kg,3000만원,15KT
1229,65097,김량훈_1992년 06월 10일,외야수(우투우타),184cm,88kg,0,0
1230,65103,히메네스_1988년 01월 18일,내야수(우투우타),185cm,92kg,0,15LG
1231,65104,한나한_1980년 03월 04일,내야수(우투좌타),189cm,91kg,0,15LG
1232,65109,백승현_1995년 05월 26일,내야수(우투우타),183cm,78kg,3400만원,17LG
1233,65115,안익훈_1996년 02월 12일,외야수(좌투좌타),176cm,70kg,0,15LG
1234,65117,이상규_1996년 10월 20일,투수(우투우타),185cm,77kg,2900만원,19LG
1235,65118,김해현_1996년 03월 27일,외야수(좌투좌타),185cm,85kg,0,0
1236,65119,신민기_1992년 06월 23일,외야수(좌투좌타),188cm,88kg,0,0
1237,65120,박성준_1996년 03월 27일,내야수(우투우타),175cm,70kg,3000만원,15LG
1238,65122,김승훈_1992년 07월 20일,내야수(우투좌타),183cm,80kg,0,0
1239,65123,윤경원_1992년 02월 07일,내야수(우투우타),178cm,78kg,0,0
1240,65124,노병채_1994년 03월 16일,투수(우투우타),180cm,84kg,0,0
1241,65125,박지웅_1996년 04월 18일,내야수(우투우타),185cm,85kg,0,0
1242,65132,김재성_1996년 10월 30일,포수(우투좌타),185cm,85kg,3100만원,15LG
1243,65136,박지규_1991년 10월 12일,내야수(우투좌타),183cm,80kg,4000만원,15LG
1244,65137,루카스_1985년 06월 03일,투수(우투양타),189cm,91kg,0,15LG
1245,65157,최민창_1996년 04월 16일,외야수(좌투좌타),179cm,76kg,0,15LG
1246,65160,조학진_1995년 06월 10일,투수(우투우타),185cm,73kg,0,15LG
1247,65203,루츠_1986년 06월 03일,내야수(우투우타),184cm,99kg,0,15두산
1248,65204,박종욱_1996년 03월 01일,투수(우투우타),182cm,86kg,0,15두산
1249,65206,박성민_1992년 11월 14일,투수(좌투좌타),172cm,80kg,2700만원,15두산
1250,65207,신민재_1996년 01월 21일,내야수(우투좌타),171cm,67kg,5000만원,19LG
1251,65208,박원빈_1996년 08월 13일,내야수(우투우타),181cm,90kg,0,0
1252,65209,사공엽_1992년 10월 29일,외야수(좌투좌타),181cm,83kg,0,15두산
1253,65219,스와잭_1985년 09월 10일,투수(우투우타),193cm,105kg,0,15두산
1254,65233,로메로_1986년 09월 24일,내야수(우투우타),188cm,102kg,0,15두산
1255,65241,채지선_1995년 07월 11일,투수(우투좌타),180cm,70kg,2800만원,15두산
1256,65247,방건우_1996년 04월 09일,투수(우투우타),185cm,78kg,0,0
1257,65259,고봉찬_1990년 09월 02일,외야수(우투우타),183cm,80kg,0,0
1258,65264,남경호_1996년 04월 07일,투수(우투우타),185cm,85kg,2700만원,15두산
1259,65265,정인석_1992년 06월 01일,포수(우투우타),185cm,86kg,0,0
1260,65269,김민혁_1996년 05월 03일,내야수(우투우타),188cm,100kg,0,17두산
1261,65293,정진철_1991년 12월 28일,내야수(우투좌타),177cm,78kg,0,15두산
1262,65300,유대한_1987년 10월 26일,투수(우투우타),184cm,87kg,0,0
1263,65301,이규섭_1992년 11월 01일,투수(우투좌타),181cm,80kg,0,0
1264,65302,백찬이_1992년 02월 20일,투수(우투우타),178cm,83kg,0,0
1265,65303,문승환_1992년 03월 16일,내야수(우투우타),180cm,77kg,0,0
1266,65304,김은성_1993년 03월 07일,내야수(우투우타),179cm,83kg,2900만원,19키움
1267,65305,김상현_1996년 04월 18일,내야수(우투좌타),175cm,78kg,0,0
1268,65306,이성진_1996년 11월 05일,내야수(우투우타),183cm,100kg,0,0
1269,65308,한승민_1991년 02월 27일,외야수(우투우타),182cm,100kg,0,0
1270,65309,강백산_1991년 08월 06일,외야수(좌투좌타),182cm,91kg,0,0
1271,65314,허승혁_1991년 03월 19일,외야수(좌투좌타),177cm,90kg,0,0
1272,65320,최원태_1997년 01월 07일,투수(우투우타),184cm,93kg,37000만원,15넥센
1273,65331,피어밴드_1985년 08월 22일,투수(좌투좌타),190cm,102kg,0,15넥센
1274,65343,김택형_1996년 10월 10일,투수(좌투좌타),185cm,90kg,3700만원,15넥센
1275,65345,김해수_1996년 12월 13일,투수(우투우타),187cm,87kg,0,15넥센
1276,65348,박주현_1996년 06월 19일,투수(우투우타),184cm,110kg,4000만원,15넥센
1277,65357,송성문_1996년 08월 29일,내야수(우투좌타),182cm,95kg,7500만원,15넥센
1278,65362,송우현_1996년 12월 27일,외야수(좌투좌타),181cm,78kg,2700만원,15넥센
1279,65368,정용준_1995년 06월 21일,투수(우투우타),181cm,80kg,0,15넥센
1280,65390,미야모토_1952년 07월 26일,(우투우타),182cm,75kg,0,0
1281,65392,김정인_1996년 06월 03일,투수(우투우타),183cm,70kg,3200만원,15넥센
1282,65393,임혜동_1996년 03월 07일,투수(우투우타),185cm,82kg,0,0
1283,65398,임규빈_1991년 09월 12일,투수(우투우타),184cm,101kg,2700만원,19키움
1284,65399,허정협_1990년 02월 17일,외야수(우투우타),184cm,92kg,3500만원,15넥센
1285,65401,김민석_1995년 07월 10일,외야수(우투우타),181cm,85kg,0,0
1286,65403,권현규_1992년 04월 13일,외야수(우투좌타),182cm,80kg,0,0
1287,65405,윤영수_1992년 03월 11일,내야수(우투좌타),176cm,76kg,0,15삼성
1288,65406,김영한_1996년 05월 22일,외야수(우투우타),181cm,88kg,0,0
1289,65411,김주온_1996년 12월 08일,투수(우투우타),184cm,82kg,2700만원,20SK
1290,65412,권정웅_1992년 11월 15일,포수(우투우타),180cm,88kg,4500만원,16삼성
1291,65413,이상학_1992년 08월 05일,내야수(우투우타),181cm,84kg,0,0
1292,65414,배진호_1992년 11월 23일,내야수(우투우타),175cm,80kg,0,0
1293,65416,허정수_1995년 08월 16일,내야수(우투우타),175cm,74kg,0,0
1294,65417,류현동_1991년 09월 18일,투수(좌투좌타),180cm,88kg,0,0
1295,65424,차희태_1992년 02월 24일,포수(우투우타),178cm,84kg,0,0
1296,65425,클로이드_1987년 05월 16일,투수(우투우타),191cm,95kg,0,15삼성
1297,65444,피가로_1984년 07월 07일,투수(우투우타),183cm,79kg,0,15삼성
1298,65447,최민구_1992년 03월 17일,외야수(우투우타),178cm,75kg,0,15삼성
1299,65462,김기환_1995년 08월 25일,외야수(우투좌타),182cm,74kg,2700만원,15삼성
1300,65464,최정용_1996년 10월 24일,내야수(우투좌타),178cm,75kg,3600만원,15삼성
1301,65496,홍정우_1996년 03월 16일,투수(우투우타),182cm,85kg,3000만원,16경찰
1302,65500,김훈호_1995년 07월 13일,투수(우투우타),186cm,91kg,0,15롯데
1303,65501,이기표_1995년 12월 14일,내야수(우투좌타),178cm,85kg,0,0
1304,65502,오윤석_1996년 05월 28일,내야수(우투우타),181cm,88kg,0,0
1305,65503,김지수_1996년 10월 29일,외야수(좌투좌타),178cm,78kg,2700만원,16롯데
1306,65505,박정현_1996년 05월 08일,내야수(우투우타),175cm,80kg,0,0
1307,65506,김재유_1992년 08월 07일,외야수(우투좌타),181cm,77kg,2900만원,15롯데
1308,65509,차재용_1996년 08월 20일,투수(좌투좌타),184cm,82kg,2900만원,15롯데
1309,65510,김선균_1992년 05월 31일,외야수(우투좌타),182cm,74kg,0,0
1310,65513,김대륙_1992년 04월 03일,내야수(우투우타),185cm,82kg,3800만원,15롯데
1311,65514,강태율_1996년 11월 01일,포수(우투우타),180cm,88kg,2700만원,15롯데
1312,65515,강로한_1992년 05월 13일,외야수(우투좌타),181cm,78kg,5300만원,15롯데
1313,65516,배제성_1996년 09월 29일,투수(우투좌타),189cm,85kg,11000만원,15롯데
1314,65517,윤세곤_1991년 09월 12일,외야수(우투우타),183cm,95kg,0,0
1315,65518,강동우_1991년 03월 19일,내야수(우투우타),181cm,95kg,0,0
1316,65519,오승우_1992년 06월 13일,포수(우투좌타),176cm,88kg,0,0
1317,65522,김호준_1995년 02월 27일,포수(우투좌타),177cm,81kg,2700만원,16롯데
1318,65523,아두치_1985년 05월 15일,외야수(좌투좌타),188cm,95kg,0,15롯데
1319,65543,린드블럼_1987년 06월 15일,투수(우투우타),195cm,105kg,0,15롯데
1320,65546,레일리_1988년 06월 29일,투수(좌투좌타),190cm,84kg,0,15롯데
1321,65548,석지형_1987년 03월 16일,투수(우투우타),186cm,98kg,0,0
1322,65582,윤영진_1976년 08월 22일,(우투우타),160cm,72kg,0,0
1323,65583,이진오_1972년 05월 13일,(),172cm,95kg,0,0
1324,65584,김종훈_1977년 03월 12일,(),176cm,82kg,0,15롯데코치
1325,65586,전병우_1992년 10월 24일,내야수(우투우타),182cm,90kg,2900만원,18롯데
1326,65589,손준영_1996년 05월 29일,투수(우투좌타),183cm,87kg,0,0
1327,65591,안태경_1990년 05월 27일,투수(우투우타),191cm,98kg,0,08텍사스
1328,65593,류호진_1980년 10월 06일,(),170cm,80kg,0,15롯데코치
1329,65610,황대인_1996년 02월 10일,내야수(우투우타),178cm,100kg,3000만원,15KIA
1330,65614,황인준_1989년 05월 07일,투수(우투우타),188cm,92kg,0,0
1331,65615,고재황_1992년 09월 30일,투수(우투우타),180cm,78kg,0,0
1332,65616,이민우_1993년 02월 09일,투수(우투우타),185cm,97kg,4300만원,17KIA
1333,65617,박동민_1992년 08월 02일,투수(우투우타),184cm,82kg,2800만원,16KIA
1334,65618,황인준_1991년 07월 23일,투수(우투우타),184cm,94kg,3700만원,18KIA
1335,65619,김성현_1991년 02월 23일,투수(우투우타),178cm,84kg,0,0
1336,65620,박정우_1996년 03월 21일,내야수(우투좌타),187cm,97kg,2800만원,16KIA
1337,65621,유성광_1992년 06월 05일,내야수(우투우타),182cm,80kg,0,0
1338,65622,이정현_1992년 04월 25일,외야수(우투좌타),179cm,83kg,0,0
1339,65623,최근태_1994년 04월 26일,외야수(좌투좌타),178cm,73kg,0,0
1340,65624,임세황_1992년 04월 05일,외야수(우투우타),186cm,99kg,0,0
1341,65625,고지원_1993년 02월 12일,투수(좌투좌타),172cm,80kg,0,0
1342,65630,에반_1983년 05월 12일,투수(우투우타),186cm,103kg,0,15KIA
1343,65639,박정수_1996년 01월 29일,투수(우언좌타),178cm,74kg,3000만원,15KIA
1344,65643,문경찬_1992년 07월 08일,투수(우투우타),186cm,85kg,11500만원,15KIA
1345,65653,김호령_1992년 04월 30일,외야수(우투우타),178cm,85kg,8500만원,15KIA
1346,65658,스틴슨_1988년 03월 14일,투수(우투우타),193cm,95kg,0,15KIA
1347,65659,험버_1982년 12월 21일,투수(우투우타),190cm,95kg,0,15KIA
1348,65661,이종석_1992년 07월 21일,투수(우투우타),185cm,93kg,2900만원,15KIA
1349,65665,이준영_1992년 08월 10일,투수(좌투좌타),177cm,85kg,4000만원,15KIA
1350,65682,타케시_1967년 03월 17일,(우투우타),178cm,95kg,0,15KIA코치
1351,65696,김명찬_1992년 10월 24일,투수(좌투좌타),187cm,106kg,3500만원,15KIA
1352,65701,임성수_1992년 10월 01일,투수(우투우타),187cm,102kg,0,0
1353,65702,김정민_1992년 11월 18일,투수(우투우타),184cm,82kg,0,15한화
1354,65703,이도윤_1996년 10월 07일,내야수(우투좌타),173cm,71kg,0,15한화
1355,65704,임석현_1996년 07월 15일,투수(우투우타),178cm,80kg,0,0
1356,65705,박준범_1996년 01월 19일,포수(우투우타),177cm,79kg,2700만원,0
1357,65706,신세진_1992년 06월 24일,투수(우투우타),181cm,86kg,0,0
1358,65707,주현상_1992년 08월 10일,투수(우투우타),177cm,82kg,3300만원,15한화
1359,65708,윤보성_1996년 08월 13일,외야수(우투우타),181cm,84kg,0,0
1360,65709,김정호_1996년 04월 17일,포수(우투우타),180cm,95kg,0,0
1361,65711,원창식_1979년 11월 05일,(우투우타),168cm,65kg,0,15한화코치
1362,65722,전형근_1991년 07월 04일,내야수(우투우타),180cm,87kg,0,0
1363,65724,박철우_1991년 07월 11일,투수(우투우타),194cm,114kg,0,0
1364,65725,김차연_1996년 08월 30일,투수(우투우타),187cm,80kg,0,0
1365,65733,모건_1980년 07월 02일,외야수(좌투좌타),180cm,80kg,0,15한화
1366,65742,로저스_1985년 08월 14일,투수(우투우타),192cm,95kg,0,15한화
1367,65762,폭스_1982년 07월 20일,외야수(우투우타),184cm,100kg,0,15한화
1368,65764,김민우_1995년 07월 25일,투수(우투우타),189cm,105kg,4200만원,15한화
1369,65769,김범수_1995년 10월 03일,투수(좌투좌타),182cm,81kg,6500만원,15한화
1370,65773,아베_1962년 12월 19일,(좌투좌타),184cm,95kg,0,0
1371,65782,후루쿠보_1964년 06월 23일,(우투우타),177cm,82kg,0,0
1372,65787,니시모토_1956년 06월 27일,(우투우타),176cm,81kg,0,0
1373,65788,다테이시_1957년 12월 06일,(우투우타),175cm,85kg,0,0
1374,65801,이재관_1996년 06월 18일,투수(좌투좌타),194cm,98kg,2700만원,19SK
1375,65802,봉민호_1996년 06월 26일,투수(좌투좌타),184cm,88kg,0,18SK
1376,65803,홍준표_1991년 04월 08일,내야수(우투좌타),175cm,72kg,0,0
1377,65804,전종훈_1996년 08월 01일,투수(우투우타),196cm,105kg,0,0
1378,65813,박창민_1976년 07월 13일,(우투우타),167cm,82kg,0,15SK코치
1379,65820,고윤형_1979년 09월 20일,(우투우타),173cm,70kg,0,15SK코치
1380,65823,브라운_1984년 09월 10일,외야수(우투우타),182cm,90kg,0,15SK
1381,65827,조한욱_1996년 12월 19일,투수(우투우타),186cm,77kg,2800만원,15SK
1382,65844,박세웅_1996년 05월 10일,투수(좌투좌타),180cm,87kg,2700만원,16SK
1383,65856,켈리_1988년 10월 14일,투수(우투우타),188cm,86kg,0,15SK
1384,65869,이현석_1992년 06월 07일,포수(우투우타),175cm,90kg,3000만원,15SK
1385,65894,유상화_1996년 02월 02일,투수(우투우타),188cm,96kg,0,15SK
1386,65896,허웅_1996년 05월 26일,투수(우투좌타),187cm,85kg,0,15SK
1387,65897,신동민_1996년 04월 29일,투수(우투좌타),188cm,97kg,2800만원,0
1388,65898,김웅빈_1996년 02월 09일,내야수(우투좌타),181cm,84kg,3700만원,16넥센
1389,65901,문석종_1996년 06월 18일,투수(우투우타),188cm,90kg,2700만원,15NC
1390,65902,이정호_1992년 06월 22일,외야수(우투우타),183cm,85kg,0,0
1391,65903,장혁진_1992년 06월 29일,포수(우투우타),175cm,80kg,0,0
1392,65904,김민욱_1993년 01월 09일,포수(우투우타),180cm,85kg,0,16NC
1393,65905,최승민_1996년 07월 01일,외야수(우투좌타),181cm,73kg,3000만원,17상무
1394,65906,김민호_1996년 01월 31일,내야수(우투우타),178cm,74kg,0,0
1395,65907,박지원_1996년 03월 25일,내야수(우투우타),186cm,85kg,0,0
1396,65908,류재인_1996년 05월 06일,투수(우언좌타),184cm,75kg,0,17NC
1397,65909,송동욱_1996년 04월 18일,포수(우투우타),184cm,89kg,2700만원,0
1398,65910,장기훈_1988년 05월 20일,포수(우투좌타),182cm,98kg,0,0
1399,65931,스튜어트_1986년 09월 28일,투수(우투우타),188cm,93kg,0,15NC
1400,65933,구창모_1997년 02월 17일,투수(좌투좌타),183cm,85kg,18000만원,15NC
1401,65937,이호중_1992년 10월 13일,투수(우투우타),183cm,91kg,2700만원,15NC
1402,65948,배준빈_1992년 04월 27일,투수(좌투우타),183cm,83kg,0,0
1403,65949,류진욱_1996년 10월 10일,투수(우투우타),189cm,88kg,2700만원,15NC
1404,65958,이훈_1996년 10월 19일,투수(우투우타),186cm,75kg,0,15NC
1405,65964,이우석_1996년 04월 16일,투수(우투우타),185cm,90kg,3000만원,15NC
1406,66000,카와세_0,내야수(),cm,kg,0,0
1407,66001,노유성_1993년 03월 25일,투수(우투좌타),187cm,91kg,0,0
1408,66002,이병훈_1997년 01월 29일,투수(좌투좌타),178cm,80kg,0,0
1409,66003,우현규_1994년 02월 22일,투수(우투좌타),186cm,100kg,0,0
1410,66004,이민욱_1993년 09월 02일,투수(우투좌타),183cm,72kg,0,0
1411,66005,임지한_1993년 12월 03일,외야수(우투우타),178cm,73kg,2900만원,17KT
1412,66006,박상원_1989년 08월 19일,투수(우투우타),193cm,98kg,0,0
1413,66007,김민우_1997년 10월 17일,투수(우투우타),181cm,86kg,0,0
1414,66013,히고시_0,포수(),cm,kg,0,0
1415,66018,김선기_1991년 09월 01일,투수(우투우타),187cm,94kg,4200만원,09시애틀
1416,66023,강승훈_1994년 01월 03일,내야수(우투우타),172cm,76kg,0,16KT
1417,66025,리두슈엔_0,내야수(),cm,kg,0,0
1418,66029,노자와_0,투수(),cm,kg,0,0
1419,66030,코다마_0,투수(),cm,kg,0,0
1420,66031,호리우치_0,포수(),cm,kg,0,0
1421,66032,피노_1983년 12월 26일,투수(우투우타),188cm,86kg,0,16KT
1422,66036,나카무라_0,투수(),cm,kg,0,0
1423,66037,와타나베_0,투수(),cm,kg,0,0
1424,66039,한승지_1997년 05월 19일,투수(우투우타),184cm,85kg,2700만원,16KT
1425,66040,코자와_0,투수(),cm,kg,0,0
1426,66045,타니가와라_0,포수(),cm,kg,0,0
1427,66047,박세진_1997년 06월 27일,투수(좌투좌타),178cm,93kg,3300만원,16KT
1428,66048,타카하시_0,투수(),cm,kg,0,0
1429,66049,마리몬_1988년 09월 30일,투수(우투우타),188cm,88kg,0,16KT
1430,66050,로위_1984년 12월 26일,투수(우투우타),180cm,86kg,0,16KT
1431,66052,남태혁_1991년 03월 13일,내야수(우투우타),187cm,107kg,3000만원,09LA다저스
1432,66055,차타니_0,내야수(),cm,kg,0,0
1433,66056,임도혁_1997년 10월 09일,투수(우투우타),184cm,74kg,0,0
1434,66061,쿠로세_0,내야수(),cm,kg,0,0
1435,66064,김태오_1997년 07월 29일,투수(좌투좌타),182cm,84kg,3300만원,18KT
1436,66066,마츠모토_0,투수(),cm,kg,0,0
1437,66067,카사야_0,투수(),cm,kg,0,0
1438,66068,서의태_1997년 09월 05일,투수(좌투좌타),194cm,115kg,0,16KT
1439,66069,장현우_1993년 05월 14일,투수(우투우타),190cm,98kg,2700만원,20KT
1440,66088,한지빈_1988년 03월 02일,(우투우타),173cm,78kg,0,0
1441,66094,양효석_1991년 06월 29일,외야수(우투우타),184cm,90kg,0,0
1442,66098,김도영_1993년 01월 26일,투수(우투우타),190cm,103kg,0,17KT
1443,66103,천원석_1997년 02월 22일,투수(좌투좌타),184cm,83kg,2700만원,18경찰
1444,66108,홍창기_1993년 11월 21일,외야수(우투좌타),189cm,94kg,3800만원,16LG
1445,66109,이동규_1997년 05월 08일,내야수(우투좌타),180cm,87kg,2700만원,0
1446,66111,양효준_1996년 08월 09일,투수(우투우타),180cm,72kg,0,0
1447,66112,김기연_1997년 09월 07일,포수(우투우타),178cm,95kg,0,17LG
1448,66113,김호은_1992년 01월 03일,내야수(우투좌타),181cm,87kg,2700만원,20LG
1449,66114,김태영_1997년 07월 04일,내야수(우투우타),185cm,82kg,0,0
1450,66115,이정윤_1991년 03월 14일,외야수(우투좌타),182cm,83kg,0,0
1451,66138,허프_1984년 08월 22일,투수(좌투좌타),183cm,88kg,0,16LG
1452,66145,김대현_1997년 03월 08일,투수(우투우타),188cm,100kg,12000만원,16LG
1453,66154,코프랜드_1987년 12월 15일,투수(우투우타),192cm,99kg,0,16LG
1454,66160,유재유_1997년 03월 03일,투수(우투우타),181cm,86kg,0,16LG
1455,66162,김주성_1998년 01월 30일,내야수(우투우타),180cm,81kg,0,16LG
1456,66200,구강현_1985년 04월 02일,(우투우타),182cm,82kg,0,16두산코치
1457,66201,고봉재_1993년 05월 14일,투수(우언우타),185cm,86kg,3300만원,16두산
1458,66202,신창희_1996년 04월 10일,포수(우투우타),187cm,96kg,0,0
1459,66203,서예일_1993년 06월 19일,내야수(우투우타),178cm,83kg,3200만원,16두산
1460,66204,이태민_1997년 07월 27일,투수(우투우타),188cm,93kg,0,0
1461,66205,구자욱_1981년 06월 01일,(),177cm,95kg,0,16두산코치
1462,66206,오석_1993년 09월 16일,투수(우투우타),180cm,80kg,0,0
1463,66207,황경태_1996년 08월 17일,내야수(우투우타),181cm,77kg,0,16두산
1464,66208,정덕현_1998년 01월 05일,투수(좌투좌타),175cm,82kg,0,0
1465,66209,조수행_1993년 08월 30일,외야수(우투좌타),178cm,73kg,4500만원,16두산
1466,66210,후지오_1986년 03월 19일,(),176cm,74kg,0,16두산코치
1467,66211,김관일_1994년 01월 04일,내야수(우투우타),172cm,78kg,0,0
1468,66212,이찬기_1993년 05월 16일,외야수(우투좌타),177cm,76kg,0,0
1469,66226,보우덴_1986년 09월 09일,투수(우투우타),190cm,101kg,0,16두산
1470,66233,홍성호_1997년 07월 15일,외야수(우투좌타),187cm,98kg,0,16두산
1471,66243,양구열_1994년 03월 12일,내야수(우투우타),183cm,92kg,0,16두산
1472,66244,에반스_1986년 01월 30일,내야수(우투우타),187cm,105kg,0,16두산
1473,66291,이영하_1997년 11월 01일,투수(우투우타),192cm,91kg,27000만원,17두산
1474,66300,김응수_1997년 08월 01일,투수(우투우타),190cm,96kg,0,0
1475,66301,최민섭_1996년 04월 06일,투수(우투좌타),180cm,75kg,0,0
1476,66302,채상현_1993년 04월 14일,외야수(우투좌타),180cm,83kg,0,17넥센
1477,66303,김태완_1993년 02월 03일,포수(우투우타),185cm,93kg,0,0
1478,66304,김진건_1993년 08월 03일,투수(좌투좌타),184cm,93kg,0,0
1479,66305,박승주_1994년 02월 12일,투수(우투우타),179cm,90kg,2700만원,17넥센
1480,66306,대니돈_1984년 07월 20일,외야수(좌투좌타),188cm,90kg,0,16넥센
1481,66307,박근만_1989년 04월 20일,투수(우투우타),183cm,107kg,0,0
1482,66308,배근용_1996년 06월 29일,투수(우투우타),181cm,88kg,0,0
1483,66309,김홍빈_1996년 09월 16일,투수(우언우타),182cm,78kg,0,17넥센
1484,66311,안준모_1997년 10월 23일,내야수(우투좌타),185cm,92kg,0,0
1485,66312,이동건_1993년 09월 23일,포수(우투좌타),171cm,84kg,0,0
1486,66313,박경택_1993년 09월 23일,내야수(우투우타),178cm,82kg,0,0
1487,66323,코엘로_1984년 11월 23일,투수(우투우타),195cm,115kg,0,16넥센
1488,66324,맥그레거_1986년 12월 19일,투수(우투우타),193cm,90kg,0,16넥센
1489,66354,주효상_1997년 11월 11일,포수(우투좌타),182cm,85kg,4000만원,16넥센
1490,66357,안현석_1997년 03월 31일,투수(우투좌타),184cm,86kg,0,16넥센
1491,66359,유재훈_1997년 12월 18일,투수(우투좌타),178cm,78kg,0,16넥센
1492,66367,안정훈_1997년 05월 15일,투수(우투우타),186cm,75kg,0,16넥센
1493,66382,도나치_1984년 03월 03일,(우투우타),185cm,97kg,0,0
1494,66390,스펜서_1972년 02월 20일,(우투우타),180cm,95kg,0,16넥센코치
1495,66392,김종덕_1993년 05월 12일,포수(우투우타),172cm,83kg,0,18넥센
1496,66393,조민성_1994년 03월 17일,외야수(좌투좌타),177cm,97kg,0,0
1497,66397,김성현_1996년 10월 24일,내야수(우투우타),180cm,85kg,0,16넥센
1498,66398,이찬석_1997년 04월 17일,투수(우투우타),185cm,80kg,2700만원,16넥센
1499,66399,김성택_1997년 09월 13일,투수(좌투좌타),185cm,95kg,0,16넥센
1500,66402,웹스터_1990년 02월 10일,투수(우투우타),188cm,86kg,0,16삼성
1501,66403,최승민_1991년 01월 07일,내야수(우투좌타),181cm,80kg,0,0
1502,66405,전승현_1996년 09월 16일,내야수(우투우타),174cm,88kg,0,0
1503,66406,안주형_1993년 08월 14일,내야수(우투좌타),176cm,68kg,3300만원,17삼성
1504,66409,이성규_1993년 08월 03일,내야수(우투우타),178cm,82kg,4300만원,16삼성
