,IDENTIFICATION,PLAYER_DETAIL,POSITIONS,HEIGHT,WEIGHT,SALARY,FIRST_YEAR
72,50397,박관진_1997년 03월 26일,투수(우투우타),186cm,90kg,2700만원,0
73,50400,윤석훈_1986년 08월 31일,(우투우타),180cm,106kg,0,20삼성코치
74,50401,이상일_1984년 05월 05일,(우투우타),161cm,74kg,0,20삼성코치
75,50402,전일우_1987년 03월 30일,(우투우타),170cm,69kg,0,20삼성코치
76,50403,한흥일_1987년 04월 06일,(우투우타),173cm,70kg,0,20삼성코치
77,50404,뷰캐넌_1989년 05월 11일,투수(우투우타),190cm,90kg,600000달러,20삼성
78,50405,황승현_1991년 11월 10일,(우투우타),178cm,78kg,0,20삼성코치
79,50411,박주혁_2001년 05월 18일,투수(우투우타),182cm,82kg,2700만원,0
80,50412,조경원_2001년 03월 15일,투수(좌투좌타),183cm,92kg,2700만원,0
81,50413,한연욱_2001년 02월 11일,투수(우투우타),188cm,84kg,2700만원,0
82,50414,정진수_1997년 09월 25일,포수(우투좌타),177cm,93kg,2700만원,0
83,50415,김경민_1997년 08월 01일,내야수(우투우타),183cm,100kg,2700만원,0
84,50416,신동수_2001년 06월 08일,내야수(우투우타),183cm,90kg,2700만원,0
85,50430,홍원표_2001년 03월 27일,투수(우투우타),183cm,86kg,2700만원,20삼성
86,50441,황동재_2001년 11월 03일,투수(우투우타),191cm,97kg,2700만원,20삼성
87,50449,허윤동_2001년 06월 19일,투수(좌투좌타),181cm,90kg,2700만원,20삼성
88,50458,김지찬_2001년 03월 08일,내야수(우투좌타),163cm,64kg,2700만원,20삼성
89,50464,이승민_2000년 08월 26일,투수(좌투좌타),174cm,79kg,2700만원,20삼성
90,50468,살라디노_1989년 07월 20일,내야수(우투우타),183cm,90kg,700000달러,20삼성
91,50500,황성빈_1997년 12월 19일,외야수(우투좌타),175cm,73kg,2700만원,0
92,50506,마차도_1992년 02월 22일,내야수(우투우타),185cm,91kg,300000달러,20롯데
93,50507,엄태호_2001년 01월 03일,외야수(우투좌타),186cm,84kg,2700만원,0
94,50508,이찬우_1997년 11월 19일,포수(우투우타),182cm,87kg,2700만원,0
95,50517,김건우_2001년 04월 25일,외야수(우투좌타),176cm,73kg,2700만원,0
96,50524,샘슨_1991년 10월 07일,투수(우투우타),189cm,95kg,500000달러,20롯데
