,선수명: ,등번호: ,생년월일: ,포지션: ,신장/체중: ,경력: ,입단 계약금: ,연봉: ,지명순위: ,입단년도: 
60021,이성엽,13,1988년 04월 12일,내야수(우투좌타),175cm/70kg,수창초-경상중-상원고-영동대-경찰,,,,
60032,김종찬,32,1987년 07월 22일,외야수(우투우타),188cm/102kg,구리초-인창중-인창고-연세대-경찰,,,12 NC 자유선발,10경찰
60036,최석,14,1987년 06월 02일,외야수(좌투좌타),174cm/79kg,남정초-중앙중-중앙고-한민대,,,,
60050,신창명,101,1988년 02월 02일,외야수(좌투좌타),183cm/79kg,석교초-세광중-세광고-경희대-경찰,,,,
60051,오현민,52,1987년 05월 21일,투수(우투우타),180cm/83kg,봉천초-선린중-선린인터넷고-동국대-경찰-NC,,,12 NC 자유선발,10경찰
60055,김민겸,73,1986년 10월 19일,(우투우타),183cm/92kg,미성초-강남중-청주기공고-탐라대-경찰-넥센-경찰,,,,
60100,백진우,,1988년 05월 09일,외야수(우투우타),179cm/79kg,고명초-덕수중-경기고-(영남사이버대)-LG-경찰-LG,,5300만원,09 LG 육성선수,10LG
60102,이태원,43,1986년 03월 17일,포수(우투우타),177cm/78kg,충암초-충암중-충암고-동국대-LG-상무,,,10 LG 5라운드 33순위,10LG
60105,배민관,28,1991년 07월 29일,투수(우투우타),185cm/93kg,순천북초-성일중-야탑고-경찰,,,10 LG 8라운드 64순위,11경찰
60106,최우정,06,1991년 02월 10일,내야수(우투우타),cm/kg,북일고,,,,
60139,더마트레,39,1981년 07월 12일,투수(좌투우타),189cm/92kg,미국 베이커스필드대,,,,
60140,신정락,1,1987년 05월 13일,투수(우언우타),177cm/78kg,천안남산초-천안북중-북일고-고려대-LG,30000만원,12000만원,10 LG 1라운드 1순위,10LG
60146,이승현,20,1991년 11월 20일,투수(우투우타),181cm/92kg,화순초-진흥중-화순고-LG,10000만원,10000만원,10 LG 2라운드 16순위,10LG
60154,곤잘레스,54,1983년 02월 23일,투수(우투우타),187cm/98kg,멕시코 프리파토리아고,,,,
60156,오카모토,56,1974년 10월 21일,투수(우투우타),183cm/95kg,일본 미네야마고,,,,
60164,유경국,67,1991년 07월 12일,투수(우투우타),177cm/78kg,광주대성초-무등중-광주동성고,,,10 LG 3라운드 17순위,10LG
60181,김지용,48,1988년 02월 20일,투수(우투우타),177cm/81kg,이문초(노원구리틀)-청량중-중앙고-강릉영동대,,11000만원,10 LG 9라운드 65순위,10LG
60184,김창혁,2,1991년 05월 17일,포수(우투우타),179cm/80kg,양덕초-부산중-부산고-LG,5000만원,3000만원,10 LG 6라운드 48순위,15LG
60197,유재호,102,1991년 04월 07일,외야수(우투우타),186cm/90kg,남도초-대구중-대구고,,,10 LG 7라운드 49순위,11LG
60198,이성진,113,1992년 02월 23일,투수(우투우타),180cm/86kg,어방초(김해엔젤스리틀)-경남중-경남고-LG,,,10 LG 4라운드 32순위,12LG
60240,히메네스,40,1980년 10월 27일,투수(우투우타),188cm/89kg,도미니카 EXP.U.A.S.D고,,,10 두산 자유선발,
60255,장민익,07,1991년 02월 05일,투수(좌투좌타),207cm/99kg,순천북초-순천이수중-효천고-두산,,,10 두산 1라운드 7순위,10두산
60260,김준호,53,1991년 12월 09일,외야수(우투우타),185cm/78kg,남부민초-대동중-경남고,,,10 두산 5라운드 39순위,
60263,이재학,51,1990년 10월 04일,투수(우언우타),181cm/84kg,대구옥산초-경복중-대구고-두산,10000만원,27500만원,10 두산 2라운드 10순위,10두산
60264,정대현,25,1991년 07월 19일,투수(좌투좌타),186cm/97kg,인천서림초-청원중-성남고-두산-KT,8000만원,4500만원,10 두산 3라운드 23순위,10두산
60265,김상훈,68,1990년 03월 16일,투수(우투우타),186cm/85kg,율하초-경운중-경북고-두산,,,10 두산 4라운드 26순위,10두산
60288,김응민,27,1991년 10월 22일,포수(우투우타),178cm/90kg,서울이수초-건대부중-중앙고-두산-삼성-상무,,3200만원,10 두산 육성선수,12두산
60291,오정환,91,1987년 12월 09일,내야수(우투우타),cm/kg,상원고-고려대,,,,
60293,윤명운,93,1991년 02월 13일,투수(우투우타),cm/kg,제주고,,,,
60295,전준홍,95,1991년 08월 18일,외야수(좌투좌타),cm/kg,중앙고,,,,
60296,김동길,3,1987년 03월 01일,내야수(우투우타),179cm/77kg,백운초-덕수중-성남고-중앙대-두산,,,10 두산 육성선수,10두산
60297,노경우,97,1987년 09월 05일,투수(우투우타),cm/kg,배재고-건국대,,,,
60304,이창섭,5,1987년 03월 10일,내야수(우투우타),182cm/77kg,사파초-창원신월중-용마고-경성대-넥센-상무-넥센,,,10 넥센 5라운드 34순위,10넥센
60329,번사이드,29,1977년 03월 15일,투수(좌투좌타),190cm/95kg,호주 카톨릭고,,,,
60336,문성현,19,1991년 11월 09일,투수(우투우타),180cm/87kg,남정초-선린중-충암고-넥센-상무-넥센,8000만원,4200만원,10 넥센 4라운드 31순위,10넥센
60337,김대유,69,1991년 05월 08일,투수(좌투좌타),187cm/92kg,부산중앙초-부산중-부산고-넥센-SK-KT,6000만원,4500만원,10 넥센 3라운드 18순위,10넥센
60339,김건태,24,1991년 10월 02일,투수(우투우타),185cm/85kg,광주수창초-무등중-진흥고-넥센-상무-넥센,18000만원,9000만원,10 넥센 1라운드 2순위,10넥센
60340,장종덕,46,1987년 10월 29일,내야수(우투우타),182cm/91kg,길동초-자양중-배명고-영남대,,,10 넥센 9라운드 66순위,
60342,정회찬,41,1987년 02월 07일,투수(우투우타),194cm/105kg,우암초-청주중-청주기공고-원광대-히어로즈-넥센-경찰,,,10 넥센 2라운드 15순위,10넥센
60343,이해창,27,1987년 05월 11일,포수(우투우타),184cm/85kg,강남초-이수중-경기고-한양대-넥센-KT,4000만원,5500만원,10 넥센 7라운드 50순위,10넥센
60360,최경환,59,1989년 12월 19일,투수(우언우타),cm/kg,충암고-송원대,,,,
60363,임성학,63,1987년 05월 08일,외야수(우투우타),179cm/78kg,양덕초-마산중-용마고-동의대,,,10 넥센 8라운드 63순위,
60367,이성욱,67,1980년 01월 20일,투수(우투우타),183cm/90kg,서림초-대헌중-인천고,,,,
60368,안규성,19,1991년 11월 09일,투수(우언좌타),185cm/86kg,갈산초-자양중-선린인터넷고-(방송통신대)-넥센-경찰,,,10 넥센 6라운드 47순위,
60384,이지풍,92,1978년 11월 01일,(우투우타),178cm/80kg,당평초-개성중-개금고-고려대,,,,10넥센코치
60404,송주호,9,1988년 07월 11일,외야수(우투좌타),181cm/75kg,효제초-중앙중-중앙고-(방송통신대)-삼성,,,07 삼성 육성선수,10삼성
60412,안성필,65,1987년 07월 29일,외야수(우투우타),180cm/78kg,신제주초-경복중-대구고-영남대,,,10 삼성 6라운드 44순위,
60415,박화랑,101,1991년 06월 18일,투수(우투우타),176cm/78kg,수창초-경운중-상원고-(대구사이버대),,,,
60430,레딩,30,1978년 02월 12일,투수(우투우타),181cm/100kg,미국,,,,
60439,이규대,39,1986년 10월 20일,투수(우언좌타),182cm/87kg,합덕초-온양중-북일고-대불대,,,10 삼성 7라운드 53순위,
60441,임진우,19,1987년 05월 13일,투수(우투우타),186cm/98kg,삼전초-배명중-배명고-고려대-삼성-경찰-삼성,,,10 삼성 1라운드 5순위,10삼성
60454,정민우,43,1991년 09월 24일,포수(우투좌타),177cm/93kg,수영초-부산중-개성고,,,10 삼성 3라운드 21순위,10삼성
60456,백상원,3,1988년 01월 02일,내야수(우투좌타),177cm/76kg,남도초-경상중-경북고-단국대-삼성-상무,,,10 삼성 4라운드 28순위,10삼성
60457,김현우,20,1988년 01월 21일,투수(우투우타),185cm/111kg,가동초-대치중-강릉고-한민대-삼성-상무,,,10 삼성 2라운드 12순위,10삼성
60461,길태곤,111,1991년 01월 08일,투수(우투우타),187cm/100kg,이수초-개성중-개성고-삼성,,,10 삼성 8라운드 60순위,10삼성
60463,이만기,63,1987년 12월 02일,내야수(우투우타),cm/kg,대구고-동의대,,,,
60464,문선엽,39,1991년 07월 31일,외야수(좌투좌타),175cm/80kg,양덕초-마산중-마산고-삼성-경찰,,,10 삼성 9라운드 69순위,10삼성
60466,김재우,53,1987년 07월 04일,투수(우투우타),186cm/83kg,언북초-선린중-선린인터넷고-인하대,,,10 삼성 5라운드 37순위,10삼성
60469,김형준,69,1984년 05월 11일,투수(우투우타),184cm/95kg,제주신광초-경복중-상원고-영남대,,,,
60481,타네다,81,1971년 07월 18일,(우투우타),173cm/80kg,일본 우에노미야고,,,,10삼성코치
60488,오치아이,88,1969년 07월 25일,(우투우타),178cm/86kg,일본 니혼대,,,,10삼성코치
60491,김종화,91,1991년 08월 14일,투수(우투우타),187cm/84kg,남도초-경상중-경북고,,,,
60493,김지훈,93,1991년 05월 08일,투수(우투우타),185cm/95kg,영일초-영남중-중앙고,,,,
60495,홍효의,30,1989년 03월 02일,투수(우언좌타),190cm/87kg,포항초-포항중-구미전자공고-영동대-삼성,,,10 삼성 육성선수,13삼성
60496,김동은,3,1990년 11월 13일,내야수(우투우타),174cm/75kg,율하초-경상중-대구고,,,10 삼성 육성선수,15KT
60497,이강혁,69,1991년 10월 23일,내야수(우투좌타),185cm/94kg,율하초-대구중-대구고,,,10 삼성 육성선수,
