,선수명: ,등번호: ,생년월일: ,포지션: ,신장/체중: ,경력: ,입단 계약금: ,연봉: ,지명순위: ,입단년도: 
60523,정훈,9,1987년 07월 18일,외야수(우투우타),180cm/85kg,양덕초-마산동중-용마고,,6400만원,06 현대 육성선수,10롯데
60524,현천웅,112,1987년 05월 18일,포수(우투우타),173cm/80kg,창녕초-재능중-동산고-건국대,,,10 롯데 육성선수,
60526,변용선,26,1987년 05월 17일,포수(우투좌타),183cm/75kg,인헌초-선린중-선린인터넷고-중앙대-롯데,,,10 롯데 5라운드 38순위,10롯데
60542,유동근,42,1987년 07월 12일,포수(우투우타),cm/kg,부산공고-원광대,,,,
60544,홍재영,98,1990년 09월 25일,외야수(우투좌타),185cm/92kg,하단초-경남중-경남고,,,10 롯데 1라운드 6순위,
60550,이현준,120,1991년 05월 12일,투수(좌투좌타),180cm/77kg,대일초-매송중-야탑고,,,10 롯데 2라운드 11순위,10롯데
60554,김근호,114,1991년 05월 30일,투수(우투우타),189cm/90kg,온양온천초-충남중-대전고,,,10 롯데 4라운드 27순위,
60558,오태곤,37,1991년 11월 18일,내야수(우투우타),186cm/88kg,쌍문초-신월중-청원고-롯데-경찰-롯데,9000만원,9500만원,10 롯데 3라운드 22순위,10롯데
60559,박시영,37,1989년 03월 10일,투수(우투우타),180cm/88kg,축현초-인천신흥중-제물포고-(영남사이버대),,7900만원,08 롯데 2차 4라운드 31순위,10롯데
60563,최헌주,63,1989년 03월 07일,투수(우투우타),cm/kg,신일고,,,,
60565,박승완,51,1988년 01월 01일,외야수(우투좌타),179cm/82kg,춘천초-춘천중-춘천고-동의대,,,,
60566,이상호,7,1989년 02월 05일,내야수(우투우타),180cm/82kg,대구옥산초-경운중-대구상원고-강릉영동대-NC-상무,,10000만원,10 롯데 육성선수,13NC
60567,황성웅,37,1986년 06월 12일,투수(우언좌타),180cm/78kg,미성초-성남중-성남고-홍익대,,,10 롯데 6라운드 43순위,
60594,사도스키,94,1982년 10월 04일,투수(우투우타),193cm/88kg,미국 웨스턴 와일드캣츠고-미국 플로리다대,,,10 롯데 자유선발,
60605,홍재호,6,1987년 05월 10일,내야수(우투우타),180cm/79kg,부산대연초-대천중-부산고-고려대-KIA-경찰,,,10 KIA 7라운드 51순위,10KIA
60630,김태훈,30,1987년 09월 28일,포수(우투우타),185cm/76kg,본리초-경북중-대구고-영남대,,,10 KIA 2차 6라운드 46순위,
60634,임기준,26,1991년 10월 08일,투수(좌투좌타),182cm/86kg,광주서림초-진흥중-진흥고-(전남과학대)-KIA-경찰,10000만원,8700만원,10 KIA 2라운드 14순위,10KIA
60635,이정훈,60,1991년 04월 27일,투수(우투우타),183cm/87kg,언북초-언북중-충암고,,,10 KIA 8라운드 62순위,10KIA
60636,심동섭,1,1991년 09월 20일,투수(좌투좌타),185cm/93kg,광주화정초-충장중-광주제일고-(호남대),,,10 KIA 1라운드 3순위,10KIA
60648,이인행,15,1991년 06월 30일,외야수(우투좌타),185cm/95kg,서울도곡초-영동중-덕수고-KIA-경찰,,,10 KIA 3라운드 19순위,10KIA
60649,라이트,50,1982년 03월 13일,투수(우투우타),192cm/90kg,미국 로빈슨고,,,,
60650,로드리게스,50,1978년 05월 21일,투수(우투우타),188cm/85kg,도미니카 루이스호세안토인고,,,,
60655,임한용,01,1987년 07월 15일,외야수(우투좌타),180cm/75kg,화계초-신일중-신일고-건국대,,,10 KIA 4라운드 30순위,10KIA
60658,최병연,0,1986년 12월 21일,내야수(우투우타),178cm/83kg,인천숭의초-태안중-북일고-성균관대,,,10 KIA 육성선수,15KIA
60661,박종모,61,1988년 02월 13일,투수(좌투좌타),178cm/86kg,남정초-선린중-선린인터넷고-고려대,,,,
60663,이제우,58,1991년 05월 10일,내야수(우투좌타),183cm/88kg,구남초-신일중-신일고,,,10 KIA 5라운드 35순위,
60667,이종환,58,1986년 05월 08일,외야수(좌투좌타),175cm/90kg,태안초-태안중-북일고-단국대-KIA-상무-KIA,,,09 KIA 육성선수,10KIA
60678,스키모토,78,1959년 05월 03일,(좌투좌타),174cm/88kg,일본 고텐바니시고,,,,10KIA코치
60690,변선웅,90,1985년 11월 29일,포수(우투우타),cm/kg,대성고,,,,
60692,서동수,92,1986년 04월 28일,외야수(좌투좌타),178cm/75kg,남산초-천안북중-북일고-대불대,,,,
60693,이준호,07,1987년 09월 07일,외야수(우투우타),183cm/89kg,군산중앙초-군산남중-군산상고-고려대,,,10 KIA 육성선수,11KIA
60694,주도성,94,1992년 01월 18일,내야수(우투우타),cm/kg,효천고,,,,
60697,콜론,97,1979년 08월 13일,투수(우투우타),198cm/107kg,도미니카,,,,
60699,장승욱,99,1986년 12월 03일,투수(좌투좌타),cm/kg,동성고-건국대,,,,
60701,조대현,,1972년 10월 15일,(우투우타),178cm/77kg,천호초-천호중-한영고-신구대,,,,10한화코치
60702,김덕영,,1978년 02월 28일,(우투우타),175cm/72kg,오류남초-오남중-우신고-용인대,,,,
60703,박재희,,1983년 11월 15일,(우투우타),180cm/83kg,용지초-협성중-능인고-순천향대,,,,10한화코치
60713,안승민,32,1991년 06월 21일,투수(우투우타),182cm/95kg,공주초-공주중-공주고,,,10 한화 3라운드 20순위,10한화
60724,이상훈,28,1987년 05월 04일,외야수(우투우타),171cm/75kg,칠성초-경복중-경북고-성균관대-한화-삼성,,,10 한화 4라운드 29순위,10한화
60726,카페얀,26,1981년 01월 13일,투수(우투우타),195cm/105kg,도미니카 세인트마리노고,,,,
60727,부에노,26,1981년 03월 05일,투수(좌투좌타),176cm/80kg,쿠바,,,,
60729,데폴라,88,1982년 12월 31일,투수(우투우타),187cm/95kg,도미니카 산마리엘고,,,,
60748,김지호,48,1991년 07월 17일,투수(우투우타),187cm/78kg,온천초-온양중-북일고,,,,
60757,김경태,29,1991년 02월 28일,투수(좌투좌타),183cm/90kg,축현초-대헌중-동산고-한화-경찰,5000만원,3600만원,10 한화 7라운드 52순위,10한화
60759,김재우,33,1991년 10월 22일,외야수(우투좌타),181cm/72kg,온양온천초-온양중-북일고,,,10 한화 2라운드 13순위,
60764,김용주,17,1991년 10월 23일,투수(좌투좌타),175cm/73kg,온양온천초-온양중-북일고-한화-상무-한화,,,10 한화 1라운드 4순위,10한화
60766,김동빈,111,1991년 11월 07일,내야수(우투좌타),179cm/83kg,역삼초-서울이수중-서울고,,,10 한화 6라운드 45순위,10한화
60768,이태양,17,1990년 07월 03일,투수(우투좌타),192cm/97kg,여수서초-여수중-효천고-한화,7000만원,14000만원,10 한화 5라운드 36순위,10한화
60769,이동형,69,1991년 04월 20일,내야수(우투우타),182cm/78kg,유천초-한밭중-대전고,,,,
60770,타카시로,70,1954년 05월 27일,(우투우타),168cm/77kg,일본 호세이대,,,,10한화코치
60778,하나마스,87,1955년 05월 29일,(우투우타),177cm/81kg,일본 가고시마대,,,,
60801,강성인,,1964년 04월 24일,(우투우타),173cm/79kg,부안초-부안중-부안고-원광보건대,,,,11SK코치
60802,홍남일,,1974년 07월 23일,(우투우타),178cm/88kg,송정초-공검중-부산기공고-명지대,,,,10SK코치
60803,이병국,101,1980년 07월 13일,(),186cm/93kg,인천숭의초-대헌중-동산고-경희대,,,,10SK코치
60804,김회성,,1979년 11월 03일,(우투우타),179cm/78kg,안양초-신성중-양명고-단국대,,,,10SK코치
60805,최윤석,3,1987년 03월 28일,내야수(우투우타),175cm/75kg,화곡초-덕수중-성남고-홍익대-SK-한화-경찰,,,10 SK 5라운드 40순위,10SK
60841,박종훈,50,1991년 08월 13일,투수(우언우타),186cm/90kg,군산중앙초-군산중-군산상고-SK-상무,10000만원,29000만원,10 SK 2라운드 9순위,10SK
60845,문광은,61,1987년 11월 09일,투수(우투우타),180cm/85kg,광주서림초-진흥중-진흥고-동의대-SK,15000만원,7500만원,10 SK 1라운드 8순위,10SK
60848,최원재,59,1987년 04월 29일,투수(우언우타),185cm/92kg,광주대성초-중앙중-중앙고-성균관대-SK-상무,,,10 SK 9라운드 72순위,10SK
60858,이재인,68,1989년 08월 16일,투수(우투우타),180cm/88kg,문정초-배재중-선린인터넷고-제주산업대-SK-상무,,,10 SK 4라운드 25순위,
60860,김정훈,60,1987년 05월 23일,포수(우투우타),182cm/93kg,수유초-신일중-신일고-경희대-SK,,,10 SK 3라운드 24순위,10SK
60864,이상백,25,1987년 03월 10일,투수(우투우타),180cm/100kg,사파초-창원신월중-마산고-경성대,,,10 SK 6라운드 41순위,10SK
60865,안정광,13,1989년 11월 29일,내야수(우투우타),184cm/88kg,상인천초-동산중-제물포고-제주산업대-SK,,,08 SK 2차 7라운드 50순위,10SK
60882,세리자와,80,1968년 04월 12일,(우투우타),177cm/73kg,일본 오오미야히가시고,,,,10SK코치
60888,세키가와,88,1969년 04월 01일,(우투좌타),179cm/79kg,일본 카나가와 토인학원고-일본 코마자와대,,,,10SK코치
60891,조성우,25,1988년 02월 08일,내야수(우투우타),188cm/91kg,평원초-원주중-원주고-한민대,,,10 SK 8라운드 57순위,10SK
60892,방정우,92,1986년 12월 02일,투수(우투우타),cm/kg,북일고-인하대,,,,
60897,김문홍,94,1987년 09월 09일,외야수(우투우타),181cm/92kg,수서초-경원중-한서고-(한성디지털대),,,10 SK 7라운드 56순위,
60911,김영수,61,1987년 09월 27일,투수(우투우타),183cm/80kg,중앙고-성균관대,,,,
60947,박치왕,74,1969년 11월 20일,(우투우타),175cm/79kg,성남고-인천체전,,,,94상무코치
60949,이창호,46,1987년 03월 09일,투수(우투우타),183cm/83kg,부곡초-강남중-덕수고-단국대-상무-NC,,,12 NC 자유선발,10상무
60977,김정택,77,1953년 02월 04일,(우투우타),172cm/74kg,,,,,
61005,강성호,89,1988년 02월 23일,외야수(우투우타),189cm/91kg,금상초-잠신중-신일고-경희대-경찰,,,,
61015,이태균,95,1989년 01월 08일,내야수(우투좌타),177cm/77kg,인창초(구리리틀)-인창중-인창고-성균관대-경찰,,,13 한화 육성선수,
61047,장동웅,106,1988년 04월 07일,포수(우투우타),180cm/90kg,태안초-태안중-북일고-고려대-경찰,,,,
61072,황현철,72,1968년 06월 23일,(우투우타),183cm/82kg,명지고-영남대,,,,
61101,임찬규,1,1992년 11월 20일,투수(우투우타),185cm/80kg,가동초-청원중-휘문고-LG-경찰,30000만원,13500만원,11 LG 1라운드 2순위,11LG
61102,유강남,27,1992년 07월 15일,포수(우투우타),182cm/88kg,청원초-휘문중-서울고-LG-상무,4000만원,23000만원,11 LG 7라운드 50순위,11LG
61104,정병곤,35,1988년 03월 23일,내야수(우투우타),172cm/74kg,내당초(삼성리틀)-경복중-경북고-단국대-LG-삼성,,,11 LG 9라운드 66순위,11LG
61108,강병의,104,1992년 01월 02일,내야수(우투우타),180cm/70kg,영도초-신월중-충암고-LG-경찰,,,11 LG 6라운드 47순위,11LG
61114,김재율,16,1989년 01월 14일,내야수(우투우타),186cm/90kg,부산중앙초-충장중-광주제일고-고려대-LG-경찰,,,11 LG 5라운드 34순위,11LG
61128,이준명,112,1992년 04월 06일,외야수(우투우타),175cm/86kg,백삼초(마린스리틀)-개성중-경남고,,,11 LG 10라운드 77순위,
61140,정다흰,54,1992년 12월 15일,투수(좌투좌타),193cm/93kg,등원초-양천중-장충고,,,11 LG 3라운드 18순위,11LG
61145,이우찬,37,1992년 08월 04일,투수(좌투좌타),183cm/88kg,온양온천초-온양중-북일고-LG-경찰,11000만원,7500만원,11 LG 2라운드 15순위,11LG
61154,주키치,54,1982년 10월 17일,투수(좌투좌타),195cm/98kg,미국 다코타 웨슬리안대-LG,,,,
61156,송윤준,67,1992년 07월 16일,투수(좌투좌타),186cm/78kg,천안남산초-공주중-북일고-LG-경찰-LG,7000만원,2700만원,11 LG 4라운드 31순위,11LG
61158,리즈,58,1983년 10월 06일,투수(우투우타),185cm/87kg,도미니카 엘세이보고-LG,,,,
61185,최인영,112,1989년 07월 29일,투수(우투우타),185cm/76kg,석촌초-영동중-강릉고-영동대-LG-경찰,,,11 LG 육성선수,11LG
61186,이천웅,32,1988년 10월 20일,외야수(좌투좌타),182cm/90kg,군산남초-성일중-성남서고-고려대-LG-경찰,,28000만원,11 LG 육성선수,12LG
61194,이민재,64,1988년 02월 05일,외야수(좌투좌타),177cm/77kg,효제초-건대부중-경동고-홍익대,,,11 LG 육성선수,12LG
61196,지승환,96,1986년 03월 11일,투수(우투우타),181cm/80kg,신제주초-경복중-상원고-영남대,,,,
61197,최영진,32,1988년 05월 10일,내야수(우투우타),185cm/87kg,영랑초-설악중-속초상고-한일장신대-LG-두산,,8000만원,11 LG 육성선수,12LG
61202,황필선,2,1992년 04월 16일,내야수(우투좌타),180cm/70kg,송정동초-경원중-경기고,,,,
61204,김동한,52,1988년 06월 24일,내야수(우투우타),174cm/74kg,내발산초-양천중-장충고-동국대-두산-상무-두산,4000만원,4500만원,11 두산 8라운드 59순위,11두산
61206,천상웅,15,1991년 05월 30일,내야수(우투양타),182cm/77kg,서림초-동산중-제주고,,,,
61208,정진호,33,1988년 10월 02일,외야수(우투좌타),185cm/78kg,인헌초-선린중-유신고-중앙대-두산-상무-두산,6000만원,11300만원,11 두산 5라운드 38순위,11두산
61214,이현호,41,1992년 07월 14일,투수(좌투좌타),185cm/80kg,인천숭의초-동인천중-제물포고-두산-상무-두산,13000만원,4500만원,11 두산 2라운드 11순위,11두산
61215,안규영,20,1988년 04월 12일,투수(우투우타),185cm/85kg,고명초-건대부중-휘문고-경희대-두산-상무,,,11 두산 4라운드 27순위,11두산
61228,최현진,93,1992년 09월 24일,투수(우투우타),183cm/86kg,지도초(고양리틀)-충암중-충암고-두산-상무,,,11 두산 1라운드 6순위,11두산
61230,라미레즈,30,1982년 09월 16일,투수(우투우타),182cm/90kg,베네수엘라 V.E.M Sucre,,,,
61231,페르난도,30,1982년 07월 15일,투수(우투우타),183cm/100kg,베네수엘라,,,,
61240,니퍼트,40,1981년 05월 06일,투수(우투우타),203cm/103kg,미국 West Virginia(대),,,11 두산 자유선발,11두산
61257,가야마,57,,투수(),cm/kg,,,,,
61262,이정호,98,1992년 04월 11일,투수(우언우타),184cm/88kg,광주수창초-무등중-광주제일고,,,11 두산 7라운드 54순위,11두산
61267,최현정,012,1992년 12월 03일,투수(좌투좌타),179cm/88kg,유천초-한밭중-대전고-두산,,,11 두산 9라운드 70순위,11두산
61268,양현,39,1992년 08월 23일,투수(우언우타),188cm/70kg,영랑초-한밭중-대전고-두산-넥센-상무-넥센,3000만원,9000만원,11 두산 10라운드 73순위,11두산
61273,박동일,73,1971년 08월 09일,(우투우타),180cm/93kg,쌍문초-신일중-경동고-일본 고쿠시칸대,,,,11두산코치
61284,강흠덕,84,1958년 08월 15일,(우투우타),170cm/64kg,명덕초-괴산중-괴산고-신구대,,,,11두산코치
61291,황인권,91,1988년 05월 19일,외야수(우투우타),180cm/86kg,청구초-충암중-장충고-건국대,,,,
61293,백진우,97,1988년 11월 24일,외야수(우투우타),182cm/83kg,부산수영초-대천중-부산고-고려대-두산,,,11 두산 육성선수,12두산
61295,강동연,21,1992년 12월 18일,투수(우투우타),195cm/94kg,진북초-덕수중-유신고-두산-상무-두산,,3400만원,11 두산 육성선수,12두산
61304,정범수,4,1992년 08월 08일,내야수(우투우타),178cm/79kg,미성초-성남중-성남고-넥센-경찰-넥센,,,11 넥센 육성선수,
61323,이태양,19,1993년 01월 28일,투수(우언좌타),183cm/82kg,내덕초-청주중-청주고-넥센,,,11 넥센 2라운드 14순위,11넥센
61329,윤지웅,38,1988년 03월 11일,투수(좌투좌타),180cm/75kg,부산대연초-부산중-부산공고-동의대-넥센-LG-경찰-LG,,,11 넥센 1라운드 3순위,11넥센
61332,알드리지,32,1979년 06월 13일,외야수(좌투좌타),185cm/102kg,미국 쿠퍼고,,,,
61353,고종욱,53,1989년 01월 11일,외야수(우투좌타),184cm/83kg,역삼초-대치중-경기고-한양대-넥센-상무-넥센,8000만원,17000만원,11 넥센 3라운드 19순위,11넥센
61357,이희성,110,1988년 03월 09일,투수(좌투좌타),185cm/93kg,칠성초-경상중-대구고-성균관대-넥센,,,11 넥센 4라운드 30순위,11넥센
61359,조영연,59,1988년 04월 14일,투수(우투우타),178cm/82kg,내당초-경운중-경북고-단국대,,,,
61360,김도현,33,1992년 10월 23일,외야수(우투우타),181cm/98kg,광주서석초-광주동성중-진흥고-넥센-SK-경찰-SK,,,11 넥센 7라운드 51순위,11넥센
61363,문우람,7,1992년 03월 08일,외야수(우투좌타),175cm/80kg,화순초-광주동성중-광주동성고-넥센-상무,,,11 넥센 육성선수,12넥센
61364,김만효,64,1987년 09월 17일,투수(우투우타),174cm/86kg,본리초-대구중-상원고-계명대,,,,
61365,김대우,17,1988년 11월 21일,투수(우언우타),183cm/85kg,역삼초-대치중-서울고-홍익대-넥센-상무-넥센,2000만원,11500만원,11 넥센 9라운드 67순위,11넥센
61366,홍성갑,96,1992년 08월 02일,외야수(우투우타),181cm/80kg,서원초-천안북중-북일고-넥센,,,11 넥센 6라운드 46순위,14넥센
61390,조용성,120,1993년 01월 11일,포수(우투우타),177cm/89kg,삼전초-건대부중-휘문고,,,11 넥센 육성선수,
61391,김기한,91,1990년 07월 11일,투수(좌투좌타),176cm/80kg,학동초-대치중-인창고-송원대,,,,
61392,김호연,03,1992년 03월 09일,포수(우투우타),178cm/75kg,백마초-홍은중-선린인터넷고,,,11 넥센 육성선수,
61394,신영재,118,1987년 12월 30일,포수(우투우타),177cm/85kg,수창초-동성중-동성고-경성대,,,11 넥센 육성선수,12넥센
61395,김민재,95,1991년 04월 25일,(우투우타),178cm/84kg,효덕초-동성중-동성고,,,,
61396,박정준,64,1992년 03월 22일,투수(우언우타),184cm/90kg,진북초-전라중-효천고-넥센,,,11 넥센 5라운드 35순위,14넥센
61402,김준희,2,1988년 08월 18일,내야수(우투우타),180cm/73kg,강남초-강남중-서울고-경희대,,,,
61404,김헌곤,34,1988년 11월 09일,외야수(우투우타),174cm/81kg,회원초-경복중-제주관광고-영남대-삼성-상무,7000만원,19000만원,11 삼성 5라운드 36순위,11삼성
61411,심창민,18,1993년 02월 01일,투수(우언우타),185cm/86kg,동삼초-경남중-경남고-삼성-상무,20000만원,23000만원,11 삼성 1라운드 4순위,11삼성
61434,저마노,37,1982년 08월 06일,투수(우투우타),190cm/95kg,미국 클레어몬트고-삼성-KT,,,11 삼성 자유선발,11삼성
61435,가코,35,1981년 01월 02일,내야수(우투우타),188cm/102kg,미국 스탠포드대,,,,
61444,매티스,44,1983년 06월 07일,투수(우투양타),190cm/99kg,미국 미주리대,,,,
